	Narracja
543	Na spowitych mgłą cmentarzach mrocznej Sylvanii bezwzględni łowcy czarownic z Imperium muszą polegać na najprostszych, ale absolutnie sprawdzonych narzędziach. Grubo ociosany, dębowy kołek staje się w ich rękach ostateczną bronią zdolną skutecznie powstrzymać nieumarłych arystokratów z rodu von Carstein. Zapędzony pod ścianę omszałego grobowca wampir kuli się przed zbliżającym się ostrzem, tracąc w ułamku sekundy całą swoją nadnaturalną pewność siebie. To proste, precyzyjne uderzenie kawałkiem zwykłego drewna pozwala śmiertelnikom bezpowrotnie przerwać wielowiekowe, bluźniercze istnienie każdego krwiopijcy.
544	Na krawędzi wulkanicznego wąwozu Devil's Breach weteranka elitarnej gwardii z Thraben przygotowuje się do zejścia w ogniste rozpadliny. Odziana w lśniący stalowy napierśnik i ciężki skórzany płaszcz wojowniczka zachowuje niesłabnącą czujność, sondując wzrokiem spowite dymem ciemności. W jednej dłoni dzierży ostry srebrny miecz, podczas gdy druga mocno zaciska się na rękojeści wielorzemiennego bicza, idealnego do chwytania zwinnych biesów. Zdeterminowana łowczyni wpatruje się w żarzący się dół, z determinacją poszukując kolejnych celów, by powiększyć swoją ponurą kolekcję diabelskich ogonów.
545	W głębinach zmetalizowanych laboratoriów dawnego Lumengridu frakcja Silników Postępu niestrudzenie pracuje nad narzuceniem całemu światu nowej, doskonałej formy. Bezwzględny badacz bez trudu przechwytuje w mechaniczną dłoń zaklęcie mirrańskiego maga, neutralizując jego niszczycielską moc w ułamku sekundy. Skradziona w ten sposób energia zostaje natychmiast przekierowana szklanymi przewodami do aparatury z lśniącym olejem, stymulując jego gwałtowny, nienaturalny rozrost. Zgodnie z kalkulacjami pretora Jin-Gitaxiasa każdy buntowniczy zamysł obrońców zostaje ostatecznie zniszczony, stając się jedynie kolejnym surowcem napędzającym proces wielkiej kompleacji Mirrodinu.
546	W ciemnych, ociekających deszczem zaułkach metropolii Towashi na planie Kamigawa zaawansowana technologia okazuje się bezużyteczna w starciu z pierwotnymi siłami. Cybernetycznie ulepszony egzekutor z gangu Reckonerów bezradnie opada na kolana, gdy z głębokich cieni wyłaniają się mściwe, widmowe dłonie zrodzone z mroku. Smoliste szpony bez trudu wbijają się w nowoczesny kompozyt pancerza, blokując mechaniczne stawy wojownika i zadając mu paraliżujący ból. Zgodnie z prastarymi prawami Kakuriyo, gniew zbezczeszczonego kami nigdy nie słabnie, bezlitośnie wysysając resztki sił życiowych z każdego, kto naruszył równowagę duchowego świata.
547	Nad bezkresną, rtęciową taflą dawnego Morza Quicksilver na planie Mirrodin biomechaniczne monstra Nowej Phyrexii polują bez wytchnienia. Wypatrując ruchu pod lustrzaną powierzchnią, drapieżny smok z frakcji Silników Postępu nurkuje z zawrotną prędkością tuż nad płynnym metalem. Jego chromowane szpony z łatwością rozcinają ciężką ciecz, wyciągając na powierzchnię zmetalizowane formy życia, by posłużyły jako surowiec do eksperymentów w laboratoriach Lumengridu. Bezwzględna skuteczność tej podniebnej machiny potwierdza słowa najeźdźców, że żadna sfera tego świata — od głębin po przestworza — nie uniknie ostatecznej kompleacji.
548	Po opuszczeniu bezpiecznych murów zamku rycerze Dworu Płomienia wkraczają w zdradliwe, nieokiełznane ostępy Dziczy na planie Eldraine. Tradycyjny oręż turniejowy okazuje się bezużyteczny przeciwko bestiom czającym się w mroku, dlatego kowale z Płonącego Dziedzińca przekuwają broń na znacznie bardziej bezwzględną. Ciężka lanca o zębatym, najeżonym stalowymi szponami grocie z łatwością rozrywa najtwardsze pancerze i sploty krwiożerczych pnączy. Zbrojny w to niszczycielskie narzędzie wojownik bez wahania szarżuje w głąb prastarego lasu, gotów dowieść odwagi Embereth w starciu z pierwotnym chaosem.
549	W mroźnych ostępach górskich dolin smoczy ród Atarki wykorzystuje potężną megafaunę do bezwzględnego torowania wojennych szlaków. Stado kolosalnych łosi o potężnych, łopatowatych rogach pędzi z niepowstrzymaną siłą przez głębokie zaspy, z łatwością rozbijając zwalone pnie oraz umocnienia nieprzyjaciela. Każde uderzenie ich twardego jak kamień poroża obraca drewniane przeszkody w pył, otwierając wolną drogę dla podążających za nimi myśliwych. Ta żywa lawina mięśni i kopyt bez trudu przetacza się przez każdą przeszkodę napotkaną na surowych bezdrożach Tarkiru.
550	W bezlitosnych, skutych wieczną zmarzliną ostępach północnego Kislevu pierwotna magia lodu przybiera drapieżną, śmiertelnie niebezpieczną postać. Ukształtowany z czystego lodowcowego kryształu ryś bezszelestnie tropi wielokrotnie większe od siebie bestie wędrujące u stóp Gór Krańca Świata. Wystarczy pojedynczy skok i dotknięcie jego emanujących arktycznym chłodem łap, by potężny niedźwiedź w ułamku sekundy został uwięziony w litej, lodowej bryle. Drapieżnik spokojnie staje na szczycie unieruchomionej ofiary, doskonale świadomy, że zamrożony przeciwnik nie jest w stanie wykonać najmniejszego ruchu ani odpowiedzieć na atak.
551	W sercu dusznych dżungli Lustrii, na kamiennym dziedzińcu miasta-świątyni Itza, jaszczuroludzie toczą zacięty mecz rytualny na cześć Pradawnych. W samym centrum piaszczystej areny dwaj zwinni skinkowie wyskakują jednocześnie w powietrze, rywalizując o kontrolę nad ciężką kulą z polerowanego obsydianu i złota. Każde przejęcie tego świętego przedmiotu oraz celne przerzucenie go przez kamienną obręcz przybliża jedną ze stron do zdobycia łaski kapłana-maga Slanna oraz nagrody w postaci ceremonialnych skarbów. Zacięta walka o dominację nad artefaktem trwa bez wytchnienia, a każdy błąd obrońcy natychmiast przekłada się na triumf nacierających wojowników.
552	W mrocznych koronach starych dębów lasu Cloakwood czatuje ettercap – dwunożna, garbata maszkara o pękatym, obwisłym brzuchu i potężnych ramionach zakończonych sierpowatymi szponami. Monstrum rozchyla beznosy pysk otoczony chitynowymi kłami, wystrzeliwując z gardzieli potężny strumień lepkiej, lśniącej w mroku pajęczyny. W ułamku sekundy gęsta sieć oplata skrzydła przelatującej bestii, bezlitośnie krępując jej ruchy i ściągając bezbronnego drapieżnika w dół. Jak trafnie odnotowała w swych raportach zwiadowczyni Erinis, te dwunożne pająkowate poczwary to bezwzględni mistrzowie zasadzek, dla których niebo nie stanowi żadnej bariery.
553	W ociekających wilgocią, pałacowych świątyniach pośród bagien Gurmag słudzy smoczego lorda Silumgara przygotowują swój oręż do bezwzględnych skrytobójczych misji. Każde zakrzywione ostrze zostaje uroczyście zanurzone w ceremonialnej czarze wypełnionej żrącą, smolistą wydzieliną tutejszych gadzich władców. Nawet najpłytsze draśnięcie klingi nasyconej tą alchemiczną trucizną wystarczy, by w ułamku sekundy powalić i uśmiercić najpotężniejszego przeciwnika. Jak przypomina kapłanka Xathi Niezawodna, ten śmiercionośny dar stanowi najwspanialsze błogosławieństwo, jakim smoczy ród może obdarzyć swoich zabójców na bagnach Tarkiru.
554	W pierwotnych, nieprzeniknionych ostępach Lustrii nawet z pozoru kruche potomstwo drapieżników nigdy nie pozostaje bezwzględnie bezbronne. Małe jaszczurze pisklę syczy ostrzegawczo ze swojego gniazda ukrytego w paprociach, natychmiast przyzywając uwagę swojego stada. Na najcichszy pisk zagrożonego stworzenia z gęstwiny z rykiem wyłania się kolosalna samica karnozaura, gotowa w ułamku sekundy zmasakrować każdego intruza. Każda próba skrzywdzenia młodego gada sprowadza na niefortunnych myśliwych śmiertelny i natychmiastowy kontratak najgroźniejszych bestii dżungli.
555	W opuszczonych w wyniku wojny chatach na bagnach Velen wiejskie opowieści o bebokach czających się pod łóżkami okazują się namacalną, groźną prawdą. Kolosalny, pokryty skołtunionym futrem potwór uwił sobie leże w zrujnowanej izbie, niezgrabnie klinując na swoim rogatym łbie szczątki drewnianego posłania i słomianego siennika. Przez sterczące źdźbła słomy i połamane deski złowrogo łypią żółte ślepia bestii, której sama masa budzi paraliżujący strach. Dwaj redańscy milicjanci zatrzymują się w progu chaty i zwierają szyk, doskonale wiedząc, że żaden samotny wieśniak nie zdołałby przepędzić tak potężnego stwora.
556	Na spalonych żelazem pustkowiach łańcucha Oxidda hordy Nowej Phyrexii bezlitośnie przełamują ostatnie punkty oporu rodowitych mieszkańców Mirrodinu. Kolosalny potwór zasilany płynnym metalem z łatwością taranuje improwizowaną barykadę obrońców, zasypując przedpole gradem iskier i pogiętej stali. Wojownicy z plemienia Vulshoków, o muskularnych ciałach pokrytych naturalnymi żelaznymi naroślami, zmuszeni są do natychmiastowej ucieczki przed niszczycielską machiną najeźdźców. Jak przewidział przywódca oporu Pythor, w obliczu tak przytłaczającej inwazji jedyną szansą na przetrwanie istot z krwi i kości jest natychmiastowy odwrót.
557	Ukryta w wilgotnej delcie rzek Tarkiru wioska Kishla stanowi kluczowy punkt handlowy na rubieżach terytorium klanu Sultai. Zbudowane na wysokich palach domostwa o zielonych dachach wznoszą się tuż ponad mętnymi kanałami, w cieniu prastarych, omszałych świątyń dawnych dynastii. Pośród gwaru nadrzecznego targu i cumujących łodzi miejscowi skrytobójcy oraz szpiedzy bezszelestnie zbierają sekrety podróżnych, pilnie strzegąc tajemnic klanu. Ta z pozoru spokojna osada rybacka pozostaje w rzeczywistości czujnym okiem i uchem potężnego cesarstwa, w którym każda informacja ma swoją wymierną cenę.
558	W murach imperialnego Kolegium Światła w Altdorfie biali magowie wykorzystują moc Wiatru Hysh do leczenia najcięższych ran i niesienia nadziei obrońcom Imperium. Młody akolita zakonu unosi oburącz ceremonialną laskę z białego drewna, której srebrne zwieńczenie rozbłyskuje czystą, uzdrawiającą energią. Złociste iskry spływające z kryształu natychmiast zasklepiają rany frontowych żołnierzy, przywracając im witalność i wolę do dalszej walki ze sługami mroku. Ten promienny artefakt zamienia każdego obrońcę w natchnionego kapłana światła, zdolnego czerpać życiodajną siłę z każdego uderzenia wymierzonego we wrogów Starego Świata.
559	Na niebezpiecznych, smaganych porywistym wichrem zboczach Północnej Góry skrzydlate gaelicaty pełnią rolę czujnych strażników podniebnych szlaków. Mały drapieżnik o lśniącym futrze i nietoperzych skrzydłach przysiada na skalnej półce, bacznie lustrując mgły unoszące się nad przepaściami. Obecność pradawnych mechanizmów i kryształowych przyrządów nasyca stworzenie dodatkową siłą, wyostrzając jego zmysły i bojową czujność. Gdy niestrudzony wojownik Galuf Baldesion prowadzi swoich towarzyszy w stronę legowiska smoka wiatru, ten niezwykły kot zrywa się do lotu, bezbłędnie wyczuwając zbliżające się niebezpieczeństwo.
560	W posępnych salach Twierdzy przetransportowanej na bagna Urborgu na Dominarii ewinar Crovax bezlitośnie demonstruje potęgę najeźdźców. Mroczny władca unosi szponiastą dłoń, uwalniając harmoniczną wstęgę nekromantycznej magii, która w ułamku sekundy łączy i paraliżuje dwoje benalijskich obrońców Koalicji. Choć wojownicy różnią się posturą i orężem, ich zbroje z kolorowego witrażu gasną w dokładnie tym samym momencie pod naporem spaczającej energii, a upuszczona broń bezradnie zawisa nad posadzką z płynokamienia. Ten bezwzględny wyrok arcyzdrajcy uświadamia obrońcom, że nawet najwierniejsi sojusznicy walczący pod tym samym sztandarem zostaną wspólnie pochłonięci przez bezduszną machinę Phyrexii.
561	Na bezdrożach ogarniętego wojną Velen obecność obcych armii zakłóca naturalne żerowiska najgroźniejszych drapieżników Kontynentu. Sprowokowany wtargnięciem na swoje terytorium gryf królewski spada z leśnych koron prosto na samotnego zwiadowcę z Nilfgaardu, z potężną siłą wbijając go w błotnisty trakt. Masywny potwór osłania powalonego przeciwnika potężnymi skrzydłami w instynktownym geście dominacji nad zdobyczą, a jego zakrzywiony dziób natychmiast wymierza decydujący cios. W surowym prawie wiedźmińskiej natury to gwałtowne starcie jest jedynie kolejnym ogniwem łańcucha pokarmowego, w którym zwycięska bestia czerpie życiodajną siłę z upadku słabszego rywala.
562	Podczas nocnego szturmu na mury Altdorfu imperialni czarodzieje z Kolegium Niebios stają w pierwszym szeregu obrońców miasta. Czerpiąc z szalejącego nad stolicą Wiatru Azyr, mag unosi dłoń uzbrojoną w mosiężne astrolabium, w ułamku sekundy skupiając potężny ładunek elektryczny. Z jego rękawicy wystrzeliwuje oślepiający łuk błękitnej błyskawicy, który z ogłuszającym trzaskiem uderza w stalowy napierśnik wdzierającego się na blanki wroga. Gwałtowne porażenie niebiańską energią natychmiast odrzuca intruza w przepaść, udowadniając niszczycielską skuteczność błyskawicznej magii bitewnej.
563	W wysuszonych wiatrem, skalistych wąwozach Koilos na Dominarii gigantyczne ptaki drapieżne polują pośród ruin starożytnej cywilizacji Thranów. Wielki błękitny rok ląduje z impetem na skraju pękniętej piaskowcowej półki, rozpościerając potężne skrzydła nad starożytnym wykopaliskiem. Tuż przed szponami bestii spoczywa wygrzebany z pyłu kamień mocy, pulsujący zimnym, nieskazitelnym blaskiem zapomnianej technologii. Podczas gdy armie Urzy i Mishry toczą wyniszczającą wojnę o każdy zdatny do użycia surowiec, te podniebne stworzenia zaciekle strzegą odnalezionych na pustkowiach reliktów dawnej potęgi.
564	Nad spowitymi blaskiem słońca klifami Jamury na Dominarii dzikie gryfy ostrostope patrolują przestworza z niezrównaną zwinnością i czujnością. Dostrzegłszy wrogi zwiad mechaniczny wdzierający się w przestrzeń powietrzną wybrzeża, podniebny drapieżnik natychmiast przechodzi w zawrotne pikowanie. Jego wyjątkowo długie, twarde jak hartowana stal szpony uderzają z piorunującą prędkością, niszcząc konstrukcję intruza na długo przed tym, nim ten zdoła wykonać jakikolwiek manewr obronny. Obserwująca te podniebne ewolucje z mostka kapitan Sisay doskonale wie, że dla tych dumnych stworzeń walka o terytorium jest równie naturalnym odruchem, co sam majestatyczny lot.
565	W mrocznych, nienaruszonych ostępach lasu Reikwald wyznawcy Starej Wiary od pokoleń strzegą zapomnianych kapliczek poświęconych bóstwom natury. Na omszałym menhirze spoczywa pozornie zwyczajna, ręcznie ciosana z ciemnego dębu czara, przez nieświadomych wędrowców uznawana za bezwartościowe naczynie. W jej płytkim wnętrzu gromadzi się święta rosa, w której w nienaturalny sposób harmonizują się wielobarwne wstęgi wszystkich Wiatrów Magii. Ci nieliczni, którzy potrafią dostrzec prawdziwą potęgę prostego artefaktu, zyskują dostęp do niewyczerpanego źródła energii zdolnego zasilić dowolne zaklęcie w Starym Świecie.
566	W wiecznym półmroku lasu Creakwood na spaczonym planie Lorwyn elficcy strażnicy bez wytchnienia poszukują ostatnich reliktów dawnego piękna. Rogaty wojownik o racicach mocno zapartych w gruncie z determinacją przedziera się przez gęste kłębowisko mściwych, czarnych cierni, znosząc bolesny ucisk pnączy zaciskających się na jego pancerzu. Klęcząc na wilgotnym poszyciu, strażnik osłania własnym ciałem pojedynczy, świecący błękitnym blaskiem kwiat, czerpiąc wewnętrzną siłę z pamięci o poległych pobratymcach. Ta niezłomna wola pozwala mu z każdą chwilą przełamywać narastającą słabość i odzyskiwać pełnię bojowej formy, by obronić ocalałe sanktuarium przed wszechobecnym zepsuciem.
